v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4,CATEGORY-ENCODED
ham,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,,,,0
ham,ok lar joke wif u oni,,,,0
spam,free entri 2 wkli comp win fa cup final tkt 21st may 2005 text fa 87121 receiv entri questionstd txt ratetc appli 08452810075over18,,,,1
ham,u dun say earli hor u c alreadi say,,,,0
ham,nah dont think goe usf live around though,,,,0
spam,freemsg hey darl 3 week word back id like fun still tb ok xxx std chg send å£150 rcv,,,,1
ham,even brother like speak treat like aid patent,,,,0
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,,,,0
spam,winner valu network custom select receivea å£900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,,,,1
spam,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,,,,1
ham,im gon na home soon dont want talk stuff anymor tonight k ive cri enough today,,,,0
spam,six chanc win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6day 16 tsandc appli repli hl 4 info,,,,1
spam,urgent 1 week free membership å£100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,,,,1
ham,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time,,,,0
ham,date sunday,,,,0
spam,xxxmobilemovieclub use credit click wap link next txt messag click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,,,,1
ham,oh kim watch,,,,0
ham,eh u rememb 2 spell name ye v naughti make v wet,,,,0
ham,fine thatåõ way u feel thatåõ way gota b,,,,0
spam,england v macedonia dont miss goalsteam news txt ur nation team 87077 eg england 87077 trywal scotland 4txtì¼120 poboxox36504w45wq 16,,,,1
ham,serious spell name,,,,0
ham,i‰û÷m go tri 2 month ha ha joke,,,,0
ham,ì pay first lar da stock comin,,,,0
ham,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,,,,0
ham,ffffffffff alright way meet sooner,,,,0
ham,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol,,,,0
ham,lol alway convinc,,,,0
ham,catch bu fri egg make tea eat mom left dinner feel love,,,,0
ham,im back amp pack car ill let know there room,,,,0
ham,ahhh work vagu rememb feel like lol,,,,0
ham,wait that still clear sure sarcast that x doesnt want live us,,,,0
ham,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wont go badli cheer,,,,0
ham,k tell anyth,,,,0
ham,fear faint housework quick cuppa,,,,0
spam,thank subscript rington uk mobil charg å£5month pleas confirm repli ye repli charg,,,,1
ham,yup ok go home look time msg ì xuhui go learn 2nd may lesson 8am,,,,0
ham,oop ill let know roommat done,,,,0
ham,see letter b car,,,,0
ham,anyth lor u decid,,,,0
ham,hello how saturday go text see youd decid anyth tomo im tri invit anyth,,,,0
ham,pl go ahead watt want sure great weekend abiola,,,,0
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi,,,,0
